model_name,rule,no_step,learning_rate,training_time,nr_of_reinit,loss_on_train,loss_on_test
PoissonTPP,Euler,3,0.01,2513,1,6859.818359375,6877.51708984375
PoissonPolynomialTPP,Euler,3,0.1,4329,1,27555969024.0,30129844224.0
IntereventRegressorTPP,Euler,3,0.1,3841,1,660539899904.0,345129713664.0
HawkesTPP,Euler,3,0.01,5496,3,6869.580078125,6879.6796875
