model_name,rule,no_step,learning_rate,training_time,loss_on_train,loss_on_test
GRUPointProcess,Euler,10,0.01,2885,656286.1875,822864.625
GRUPointProcess,Implicit Euler,10,0.01,813,-1495.8414306640625,111157796864.0
GRUPointProcess,Trapezoid,10,0.01,2990,376444288.0,992406080.0
GRUPointProcess,Simpsons,10,0.01,2948,4054778.25,9392707.0
GRUPointProcess,Gaussian_Q,10,0.01,3425,45801.4609375,45911.984375
LSTMPointProcess,Euler,10,0.01,2852,5792.333984375,4891.96484375
LSTMPointProcess,Implicit Euler,10,0.01,776,-1454.8966064453125,155842936832.0
LSTMPointProcess,Trapezoid,10,0.01,2910,4830260736.0,4829244416.0
LSTMPointProcess,Simpsons,10,0.01,2866,149679520.0,149648176.0
LSTMPointProcess,Gaussian_Q,10,0.01,3326,4638667.0,4637616.0
RNNPointProcess,Euler,10,0.01,2053,429114.625,433725.4375
RNNPointProcess,Implicit Euler,10,0.01,589,-1539.7506103515625,252190343168.0
RNNPointProcess,Trapezoid,10,0.01,2130,316270848.0,340139616.0
RNNPointProcess,Simpsons,10,0.01,2074,3344971.25,3352413.0
RNNPointProcess,Gaussian_Q,10,0.01,2428,37973.796875,37695.41796875
