model_name,rule,no_step,learning_rate,loss_on_train,loss_on_test
GRUPointProcess,Euler,10,0.01,79518.3125,21711.7421875
GRUPointProcess,Trapezoid,10,0.01,78603.0859375,21297.681640625
GRUPointProcess,Gaussian_Q,10,0.01,79571.796875,24787.9609375
LSTMPointProcess,Euler,10,0.01,82552.65625,24390.279296875
LSTMPointProcess,Trapezoid,10,0.01,79573.2109375,21516.58203125
LSTMPointProcess,Gaussian_Q,10,0.01,79573.234375,21516.603515625
RNNPointProcess,Euler,10,0.01,81989.234375,24009.44921875
RNNPointProcess,Trapezoid,10,0.01,79573.2109375,21516.58203125
RNNPointProcess,Gaussian_Q,10,0.01,79570.4921875,24300.9296875
