model_name,rule,no_step,learning_rate,training_time,loss_on_train,loss_on_test
GRUPointProcess,Euler,10,0.001,2927,4653053.5,4667502.0
GRUPointProcess,Implicit Euler,10,0.001,826,19.52208709716797,28028486.0
GRUPointProcess,Trapezoid,10,0.001,3041,5178785.5,5215048.0
GRUPointProcess,Simpsons,10,0.001,2966,1219244.375,1225668.875
GRUPointProcess,Gaussian_Q,10,0.001,3446,298050.96875,297115.875
LSTMPointProcess,Euler,10,0.001,2891,2565365.25,2526586.25
LSTMPointProcess,Implicit Euler,10,0.001,792,-69.56026458740234,47094368.0
LSTMPointProcess,Trapezoid,10,0.001,2955,2684063.5,2723105.0
LSTMPointProcess,Simpsons,10,0.001,2883,84924.3203125,91465.9140625
LSTMPointProcess,Gaussian_Q,10,0.001,3346,3174.76904296875,4304.451171875
RNNPointProcess,Euler,10,0.001,2075,6278102.5,6307732.5
RNNPointProcess,Implicit Euler,10,0.001,598,-161.25369262695312,80441264.0
RNNPointProcess,Trapezoid,10,0.001,2162,6600822.0,6685895.5
RNNPointProcess,Simpsons,10,0.001,2094,1471965.5,1475265.625
RNNPointProcess,Gaussian_Q,10,0.001,2465,354650.8125,354504.15625
