model_name,rule,no_step,learning_rate,loss_on_train,loss_on_test
GRUPointProcess,Euler,10,0.01,8927.37109375,1033.1795654296875
GRUPointProcess,Trapezoid,10,0.01,8927.1630859375,1033.155029296875
GRUPointProcess,Gaussian_Q,10,0.01,8925.931640625,1033.02587890625
LSTMPointProcess,Euler,10,0.01,9010.306640625,1038.3157958984375
LSTMPointProcess,Trapezoid,10,0.01,8927.177734375,1033.1552734375
LSTMPointProcess,Gaussian_Q,10,0.01,8927.1826171875,1033.1551513671875
RNNPointProcess,Euler,10,0.01,9109.904296875,1047.48828125
RNNPointProcess,Trapezoid,10,0.01,8815.8095703125,1022.2384033203125
RNNPointProcess,Gaussian_Q,10,0.01,9578.3212890625,1133.24853515625
